年,地域,企業,産業大分類(横),都道府県,産業大分類,業種中分類,未使用,カウント
2009-01-01,1,2,製造業,北海道,窯業・土石製品製造業,窯業・土石製品製造業,0,1
2009-01-01,1,1,製造業,北海道,鉄鋼業,鉄鋼業,0,0
2009-01-01,1,3,製造業,北海道,非鉄金属製造業,非鉄金属製造業,0,0
2009-01-01,1,3,製造業,北海道,金属製品製造業,金属製品製造業,0,1
2009-01-01,1,1,製造業,北海道,はん用機械器具製造業,はん用機械器具製造業,0,0
2009-01-01,1,0,製造業,北海道,生産用機械器具製造業,生産用機械器具製造業,0,0
2009-01-01,1,2,製造業,北海道,業務用機械器具製造業,業務用機械器具製造業,0,0
2009-01-01,1,0,製造業,北海道,電子部品・デバイス・電子回路製造業,電子部品・デバイス・電子回路製造業,0,0
2009-01-01,1,3,製造業,北海道,電気機械器具製造業,電気機械器具製造業,0,0
2009-01-01,1,2,製造業,北海道,情報通信機械器具製造業,情報通信機械器具製造業,0,0
2009-01-01,1,1,製造業,北海道,輸送用機械器具製造業,輸送用機械器具製造業,0,1
2009-01-01,1,1,製造業,北海道,その他の製造業,その他の製造業,0,1
2009-01-01,1,2,電気・ガス・熱供給・水道業,北海道,電気業,電気業,0,0
2009-01-01,1,2,電気・ガス・熱供給・水道業,北海道,ガス業,ガス業,0,0
2009-01-01,1,2,電気・ガス・熱供給・水道業,北海道,熱供給業,熱供給業,0,0
2009-01-01,1,1,電気・ガス・熱供給・水道業,北海道,水道業,水道業,0,0
2009-01-01,1,0,情報通信業,北海道,通信業,通信業,0,1
2009-01-01,1,1,情報通信業,北海道,放送業,放送業,0,0
2009-01-01,1,1,情報通信業,北海道,情報サービス業,情報サービス業,0,0
2009-01-01,1,3,情報通信業,北海道,インターネット附随サービス業,インターネット附随サービス業,0,0
2009-01-01,1,1,情報通信業,北海道,映像・音声・文字情報制作業,映像・音声・文字情報制作業,0,0
2009-01-01,1,2,運輸業，郵便業,北海道,鉄道業,鉄道業,0,0
2009-01-01,1,0,運輸業，郵便業,北海道,道路旅客運送業,道路旅客運送業,0,0
2009-01-01,1,0,運輸業，郵便業,北海道,道路貨物運送業,道路貨物運送業,0,3
2009-01-01,1,3,運輸業，郵便業,北海道,水運業,水運業,0,0
2009-01-01,1,2,運輸業，郵便業,北海道,航空運輸業,航空運輸業,0,0
2009-01-01,1,3,運輸業，郵便業,北海道,倉庫業,倉庫業,0,0
2009-01-01,1,0,運輸業，郵便業,北海道,運輸に附帯するサービス業,運輸に附帯するサービス業,0,0
2009-01-01,1,0,運輸業，郵便業,北海道,郵便業（信書便事業を含む）,郵便業（信書便事業を含む）,0,0
2009-01-01,1,0,卸売業，小売業,北海道,各種商品卸売業,各種商品卸売業,0,0
2009-01-01,1,1,卸売業，小売業,北海道,繊維・衣服等卸売業,繊維・衣服等卸売業,0,0
2009-01-01,1,0,卸売業，小売業,北海道,飲食料品卸売業,飲食料品卸売業,0,5
2009-01-01,1,3,卸売業，小売業,北海道,建築材料，鉱物・金属材料等卸売業,建築材料，鉱物・金属材料等卸売業,0,2
2009-01-01,1,1,卸売業，小売業,北海道,機械器具卸売業,機械器具卸売業,0,2
2009-01-01,1,1,卸売業，小売業,北海道,その他の卸売業,その他の卸売業,0,1
2009-01-01,1,2,卸売業，小売業,北海道,各種商品小売業,各種商品小売業,0,0
2009-01-01,1,3,卸売業，小売業,北海道,織物・衣服・身の回り品小売業,織物・衣服・身の回り品小売業,0,7
2009-01-01,1,2,卸売業，小売業,北海道,飲食料品小売業,飲食料品小売業,0,17
2009-01-01,1,3,卸売業，小売業,北海道,機械器具小売業,機械器具小売業,0,9
2009-01-01,1,1,卸売業，小売業,北海道,その他の小売業,その他の小売業,0,20
2009-01-01,1,3,卸売業，小売業,北海道,無店舗小売業,無店舗小売業,0,1
2009-01-01,1,2,金融業，保険業,北海道,銀行業,銀行業,0,0
2009-01-01,1,1,金融業，保険業,北海道,協同組織金融業,協同組織金融業,0,0
2009-01-01,1,0,金融業，保険業,北海道,貸金業，クレジットカード業等非預金信用機関,貸金業，クレジットカード業等非預金信用機関,0,0
2009-01-01,1,1,金融業，保険業,北海道,金融商品取引業，商品先物取引業,金融商品取引業，商品先物取引業,0,0
2009-01-01,1,2,金融業，保険業,北海道,補助的金融業等,補助的金融業等,0,0
2009-01-01,1,1,金融業，保険業,北海道,保険業（保険媒介代理業，保険サービス業を含む）,保険業（保険媒介代理業，保険サービス業を含む）,0,1
2009-01-01,1,3,不動産業，物品賃貸業,北海道,不動産取引業,不動産取引業,0,0
2009-01-01,1,0,不動産業，物品賃貸業,北海道,不動産賃貸業・管理業,不動産賃貸業・管理業,0,23
2009-01-01,1,0,不動産業，物品賃貸業,北海道,物品賃貸業,物品賃貸業,0,0
2009-01-01,1,3,学術研究，専門・技術サービス業,北海道,学術・開発研究機関,学術・開発研究機関,0,0
2009-01-01,1,1,学術研究，専門・技術サービス業,北海道,専門サービス業（他に分類されないもの）,専門サービス業（他に分類されないもの）,0,1
2009-01-01,1,3,学術研究，専門・技術サービス業,北海道,広告業,広告業,0,0
2009-01-01,1,1,学術研究，専門・技術サービス業,北海道,技術サービス業（他に分類されないもの）,技術サービス業（他に分類されないもの）,0,1
2009-01-01,1,0,宿泊業，飲食サービス業,北海道,宿泊業,宿泊業,0,5
2009-01-01,1,2,宿泊業，飲食サービス業,北海道,飲食店,飲食店,0,23
2009-01-01,1,3,宿泊業，飲食サービス業,北海道,持ち帰り・配達飲食サービス業,持ち帰り・配達飲食サービス業,0,0
2009-01-01,1,3,生活関連サービス業，娯楽業,北海道,洗濯・理容・美容・浴場業,洗濯・理容・美容・浴場業,0,18
2009-01-01,1,0,生活関連サービス業，娯楽業,北海道,その他の生活関連サービス業,その他の生活関連サービス業,0,4
2009-01-01,1,3,生活関連サービス業，娯楽業,北海道,娯楽業,娯楽業,0,0
2009-01-01,1,1,教育，学習支援業,北海道,学校教育,学校教育,0,0
2009-01-01,1,0,教育，学習支援業,北海道,その他の教育，学習支援業,その他の教育，学習支援業,0,3
2009-01-01,1,3,医療，福祉,北海道,医療業,医療業,0,7
2009-01-01,1,2,医療，福祉,北海道,保健衛生,保健衛生,0,0
2009-01-01,1,1,医療，福祉,北海道,社会保険・社会福祉・介護事業,社会保険・社会福祉・介護事業,0,3
2009-01-01,1,1,複合サービス事業,北海道,郵便局,郵便局,0,0
2009-01-01,1,2,複合サービス事業,北海道,協同組合（他に分類されないもの）,協同組合（他に分類されないもの）,0,0
2009-01-01,1,1,サービス業（他に分類されないもの）,北海道,廃棄物処理業,廃棄物処理業,0,1
2009-01-01,1,3,サービス業（他に分類されないもの）,北海道,自動車整備業,自動車整備業,0,7
2009-01-01,1,3,サービス業（他に分類されないもの）,北海道,機械等修理業（別掲を除く）,機械等修理業（別掲を除く）,0,3
2009-01-01,1,3,サービス業（他に分類されないもの）,北海道,職業紹介・労働者派遣業,職業紹介・労働者派遣業,0,0
2009-01-01,1,0,サービス業（他に分類されないもの）,北海道,その他の事業サービス業,その他の事業サービス業,0,1
2009-01-01,1,1,サービス業（他に分類されないもの）,北海道,政治・経済・文化団体,政治・経済・文化団体,0,1
2009-01-01,1,1,サービス業（他に分類されないもの）,北海道,宗教,宗教,0,6
2009-01-01,1,1,サービス業（他に分類されないもの）,北海道,その他のサービス業,その他のサービス業,0,0
2009-01-01,1,2,農業，林業,北海道,農業,農業,0,2
2009-01-01,1,1,農業，林業,北海道,林業,林業,0,1
2009-01-01,1,1,漁業,北海道,漁業（水産養殖業を除く）,漁業（水産養殖業を除く）,0,25
2009-01-01,1,3,漁業,北海道,水産養殖業,水産養殖業,0,0
2009-01-01,1,3,鉱業，採石業，砂利採取業,北海道,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,0,0
2009-01-01,1,0,建設業,北海道,総合工事業,総合工事業,0,12
2009-01-01,1,1,建設業,北海道,職別工事業（設備工事業を除く）,職別工事業（設備工事業を除く）,0,11
2009-01-01,1,1,建設業,北海道,設備工事業,設備工事業,0,3
2009-01-01,1,3,製造業,北海道,食料品製造業,食料品製造業,0,10
2009-01-01,1,0,製造業,北海道,飲料・たばこ・飼料製造業,飲料・たばこ・飼料製造業,0,0
2009-01-01,1,1,製造業,北海道,繊維工業,繊維工業,0,0
2009-01-01,1,1,製造業,北海道,木材・木製品製造業（家具を除く）,木材・木製品製造業（家具を除く）,0,0
2009-01-01,1,1,製造業,北海道,家具・装備品製造業,家具・装備品製造業,0,0
2009-01-01,1,0,製造業,北海道,パルプ・紙・紙加工品製造業,パルプ・紙・紙加工品製造業,0,0
2009-01-01,1,2,製造業,北海道,印刷・同関連業,印刷・同関連業,0,0
2009-01-01,1,2,製造業,北海道,化学工業,化学工業,0,0
2009-01-01,1,1,製造業,北海道,石油製品・石炭製品製造業,石油製品・石炭製品製造業,0,0
2009-01-01,1,2,製造業,北海道,プラスチック製品製造業（別掲を除く）,プラスチック製品製造業（別掲を除く）,0,0
2009-01-01,1,2,製造業,北海道,ゴム製品製造業,ゴム製品製造業,0,0
2009-01-01,1,1,製造業,北海道,なめし革・同製品・毛皮製造業,なめし革・同製品・毛皮製造業,0,0
2009-01-01,1,0,製造業,北海道,窯業・土石製品製造業,窯業・土石製品製造業,0,0
2009-01-01,1,0,製造業,北海道,鉄鋼業,鉄鋼業,0,0
2009-01-01,1,0,製造業,北海道,非鉄金属製造業,非鉄金属製造業,0,0
2009-01-01,1,2,製造業,北海道,金属製品製造業,金属製品製造業,0,1
2009-01-01,1,2,製造業,北海道,はん用機械器具製造業,はん用機械器具製造業,0,0
2009-01-01,1,2,製造業,北海道,生産用機械器具製造業,生産用機械器具製造業,0,0
2009-01-01,1,3,製造業,北海道,業務用機械器具製造業,業務用機械器具製造業,0,0
2009-01-01,1,2,製造業,北海道,電子部品・デバイス・電子回路製造業,電子部品・デバイス・電子回路製造業,0,0
2009-01-01,1,2,製造業,北海道,電気機械器具製造業,電気機械器具製造業,0,0
2009-01-01,1,2,製造業,北海道,情報通信機械器具製造業,情報通信機械器具製造業,0,0
2009-01-01,1,0,製造業,北海道,輸送用機械器具製造業,輸送用機械器具製造業,0,0
2009-01-01,1,3,製造業,北海道,その他の製造業,その他の製造業,0,0
2009-01-01,1,3,電気・ガス・熱供給・水道業,北海道,電気業,電気業,0,0
2009-01-01,1,0,電気・ガス・熱供給・水道業,北海道,ガス業,ガス業,0,0
2009-01-01,1,2,電気・ガス・熱供給・水道業,北海道,熱供給業,熱供給業,0,0
2009-01-01,1,2,電気・ガス・熱供給・水道業,北海道,水道業,水道業,0,0
2009-01-01,1,2,情報通信業,北海道,通信業,通信業,0,0
2009-01-01,1,2,情報通信業,北海道,放送業,放送業,0,0
2009-01-01,1,3,情報通信業,北海道,情報サービス業,情報サービス業,0,0
2009-01-01,1,0,情報通信業,北海道,インターネット附随サービス業,インターネット附随サービス業,0,0
2009-01-01,1,0,情報通信業,北海道,映像・音声・文字情報制作業,映像・音声・文字情報制作業,0,0
2009-01-01,1,3,運輸業，郵便業,北海道,鉄道業,鉄道業,0,0
2009-01-01,1,3,運輸業，郵便業,北海道,道路旅客運送業,道路旅客運送業,0,0
2009-01-01,1,0,運輸業，郵便業,北海道,道路貨物運送業,道路貨物運送業,0,2
2009-01-01,1,3,運輸業，郵便業,北海道,水運業,水運業,0,0
2009-01-01,1,0,運輸業，郵便業,北海道,航空運輸業,航空運輸業,0,0
2009-01-01,1,3,運輸業，郵便業,北海道,倉庫業,倉庫業,0,0
2009-01-01,1,1,運輸業，郵便業,北海道,運輸に附帯するサービス業,運輸に附帯するサービス業,0,0
2009-01-01,1,2,運輸業，郵便業,北海道,郵便業（信書便事業を含む）,郵便業（信書便事業を含む）,0,0
2009-01-01,1,1,卸売業，小売業,北海道,各種商品卸売業,各種商品卸売業,0,0
2009-01-01,1,1,卸売業，小売業,北海道,繊維・衣服等卸売業,繊維・衣服等卸売業,0,0
2009-01-01,1,3,卸売業，小売業,北海道,飲食料品卸売業,飲食料品卸売業,0,4
2009-01-01,1,3,卸売業，小売業,北海道,建築材料，鉱物・金属材料等卸売業,建築材料，鉱物・金属材料等卸売業,0,2
2009-01-01,1,1,卸売業，小売業,北海道,機械器具卸売業,機械器具卸売業,0,2
2009-01-01,1,0,卸売業，小売業,北海道,その他の卸売業,その他の卸売業,0,0
2009-01-01,1,2,卸売業，小売業,北海道,各種商品小売業,各種商品小売業,0,0
2009-01-01,1,0,卸売業，小売業,北海道,織物・衣服・身の回り品小売業,織物・衣服・身の回り品小売業,0,3
2009-01-01,1,3,卸売業，小売業,北海道,飲食料品小売業,飲食料品小売業,0,22
2009-01-01,1,1,卸売業，小売業,北海道,機械器具小売業,機械器具小売業,0,5
2009-01-01,1,2,卸売業，小売業,北海道,その他の小売業,その他の小売業,0,21
2009-01-01,1,1,卸売業，小売業,北海道,無店舗小売業,無店舗小売業,0,0
2009-01-01,1,1,金融業，保険業,北海道,銀行業,銀行業,0,0
2009-01-01,1,1,金融業，保険業,北海道,協同組織金融業,協同組織金融業,0,0
